item_name,flips,total_profit,total_spent,roi_percent,avg_profit_per_flip,last_flipped
Forgotten brew(4),7,184233,9601078,1.9188782759602618,26319,08-17-2025
Eclipse moon chestplate,7,183858,11372790,1.6166481575761091,26265.428571428572,08-17-2025
Armadyl godsword,3,183235,26807065,0.6835324941391383,61078.333333333336,08-14-2025
Blighted entangle sack,12,180648,3542439,5.099537352654485,15054,08-20-2025
Dragon felling axe,4,175478,8664892,2.025160844474461,43869.5,08-17-2025
Zombie pirate key,3,173129,4630554,3.738839888272548,57709.666666666664,08-17-2025
Hydra leather,1,172288,13277493,1.2975943576095277,172288,08-14-2025
Robin hood hat,9,169659,18210341,0.9316629490902999,18851,08-19-2025
Lobster,6,169368,4681594,3.6177421621780956,28228,08-03-2025
Anguish ornament kit,2,169123,22484964,0.7521604215154626,84561.5,08-16-2025
Lumbridge teleport,14,167980,5620494,2.988705263274011,11998.57142857143,08-13-2025
Vial of blood,11,167914,65449558,0.25655482654290807,15264.90909090909,08-16-2025
Occult ornament kit,6,167705,23291735,0.7200193545049349,27950.833333333332,08-16-2025
Blighted super restore(4),7,159535,18756428,0.8505617380878705,22790.714285714286,08-19-2025
Essence impling jar,6,158825,8724211,1.8205084677571415,26470.833333333332,08-17-2025
Dragonstone dragon bolts (e),5,155407,9948490,1.5621164618952224,31081.4,08-20-2025
Dragon pickaxe,5,153855,15610485,0.9855875714303559,30771,08-15-2025
Runite bolts (unf),3,153390,2539812,6.039423390392675,51130,08-15-2025
Armadyl crossbow,1,152828,30354361,0.5034795494459594,152828,08-18-2025
Divine magic potion(4),9,149962,5601798,2.67703333822462,16662.444444444445,08-17-2025
Abyssal dagger (p++),4,149602,29413906,0.5086097711742195,37400.5,08-20-2025
Virtus robe bottom,1,149234,30229834,0.4936646360677998,149234,08-18-2025
Obsidian helmet,8,143691,13110472,1.0960017305250338,17961.375,08-08-2025
Malediction ward,5,141583,11230655,1.260683370649352,28316.6,08-17-2025
