First buy time,Last sell time,Account,Item,Status,Bought,Sold,Avg. buy price,Avg. sell price,Tax,Profit,Profit ea.
2025-08-22T21:23:59Z,2025-08-22T22:13:16Z,1000tomax,Yew longbow (u),FINISHED,9737,9737,301,314,58422,70996,7
2025-08-22T21:58:04Z,2025-08-22T22:04:23Z,1000tomax,Anguish ornament kit,FINISHED,1,1,9599840,9836585,196731,40014,40014
2025-08-22T22:01:07Z,2025-08-22T22:03:44Z,1000tomax,Trailblazer reloaded blowpipe ornament kit,FINISHED,1,1,3150224,3266414,65328,50862,50862
2025-08-22T21:50:43Z,2025-08-22T21:56:58Z,1000tomax,Anglerfish,FINISHED,262,262,1798,1845,9432,2882,11
2025-08-22T21:32:05Z,2025-08-22T21:48:06Z,1000tomax,Blighted super restore(4),FINISHED,705,705,1928,2010,27789,30284,42
2025-08-22T21:33:06Z,2025-08-22T21:41:19Z,1000tomax,Crystal armour seed,FINISHED,1,1,6204833,6382654,127653,50168,50168
2025-08-22T21:11:15Z,2025-08-22T21:33:40Z,1000tomax,Masori body,FINISHED,1,1,40145886,41220625,824412,250327,250327
2025-08-22T20:17:45Z,2025-08-22T21:31:16Z,1000tomax,Soul rune,FINISHED,25000,25000,294,290,125000,-225000,-9
2025-08-22T21:03:50Z,2025-08-22T21:30:52Z,1000tomax,Falador teleport,FINISHED,2865,2865,475,496,0,61212,21
2025-08-22T20:58:45Z,2025-08-22T21:26:09Z,1000tomax,Runite bolts,FINISHED,8460,8460,180,187,25380,40591,4
2025-08-22T21:10:11Z,2025-08-22T21:19:00Z,1000tomax,Pegasian boots,FINISHED,1,1,37331415,38166038,763320,71303,71303
2025-08-22T21:11:42Z,2025-08-22T21:18:36Z,1000tomax,Saradomin brew(4),FINISHED,400,400,10109,10412,83200,38000,95
2025-08-22T20:44:55Z,2025-08-22T21:02:53Z,1000tomax,Noxious halberd,FINISHED,1,1,64076906,65576904,1311538,188460,188460
2025-08-22T20:36:15Z,2025-08-22T21:01:40Z,1000tomax,Iron ore,FINISHED,12850,12850,109,114,25700,38550,3
2025-08-22T20:53:33Z,2025-08-22T21:01:24Z,1000tomax,Opal dragon bolts (e),FINISHED,75,75,3572,3703,5550,4275,57
2025-08-22T20:53:55Z,2025-08-22T20:57:37Z,1000tomax,Adamant dart,FINISHED,11000,11000,42,46,0,44000,4
2025-08-22T20:48:49Z,2025-08-22T20:57:30Z,1000tomax,Snapdragon seed,FINISHED,101,101,76027,78056,157661,47268,468
2025-08-22T20:46:55Z,2025-08-22T20:56:01Z,1000tomax,Nature rune,FINISHED,18000,18000,86,88,18000,18000,1
2025-08-22T19:21:22Z,2025-08-22T20:53:44Z,1000tomax,Extended super antifire(4),FINISHED,208,208,20361,20864,86673,18074,86
2025-08-22T20:48:52Z,2025-08-22T20:49:32Z,1000tomax,Ghrazi rapier,FINISHED,1,1,37739645,38779999,775599,264755,264755
2025-08-22T20:42:27Z,2025-08-22T20:46:19Z,1000tomax,Death rune,FINISHED,25000,25000,118,122,50000,50000,2
2025-08-22T20:42:56Z,2025-08-22T20:46:10Z,1000tomax,Atlatl dart,FINISHED,7254,7254,135,140,14508,21762,3
2025-08-22T20:25:36Z,2025-08-22T20:45:49Z,1000tomax,Rune arrow,FINISHED,11000,11000,201,205,44000,10815,0
2025-08-22T19:47:38Z,2025-08-22T20:37:10Z,1000tomax,Eclectic impling jar,FINISHED,2272,2272,3147,3218,145408,15904,7
2025-08-22T20:24:41Z,2025-08-22T20:32:01Z,1000tomax,Coal,FINISHED,8679,8679,165,174,26037,52074,6
2025-08-22T20:06:04Z,2025-08-22T20:25:50Z,1000tomax,Grapes,FINISHED,20000,20000,66,68,20000,26051,1
2025-08-22T18:35:56Z,2025-08-22T20:25:25Z,1000tomax,Lava dragon bones,FINISHED,3165,3165,3592,3680,231461,49628,15
2025-08-22T20:21:39Z,2025-08-22T20:22:42Z,1000tomax,Primordial boots,FINISHED,1,1,24444311,24982631,499652,38668,38668
2025-08-22T20:16:19Z,2025-08-22T20:16:54Z,1000tomax,Bandos tassets,FINISHED,2,2,13342199,13658052,546322,85384,42692
2025-08-22T20:02:13Z,2025-08-22T20:12:48Z,1000tomax,Ranarr seed,FINISHED,81,81,28913,29676,48033,13770,170
2025-08-22T19:33:23Z,2025-08-22T20:05:59Z,1000tomax,Abyssal dagger (p++),FINISHED,1,1,2967675,3041430,60828,12927,12927
2025-08-22T19:55:47Z,2025-08-22T20:05:32Z,1000tomax,Masori mask (f),FINISHED,1,1,19728796,20319757,406395,184566,184566
2025-08-22T19:55:40Z,2025-08-22T20:02:20Z,1000tomax,Demon tear,FINISHED,13000,13000,132,138,26000,52000,4
2025-08-22T19:53:53Z,2025-08-22T19:59:59Z,1000tomax,Harralander potion (unf),FINISHED,473,473,702,734,6622,8514,18
2025-08-22T19:47:24Z,2025-08-22T19:58:11Z,1000tomax,Cannonball,FINISHED,11000,11000,181,187,33000,33000,3
2025-08-22T19:54:15Z,2025-08-22T19:55:02Z,1000tomax,Masori mask (f),FINISHED,1,1,19730757,20321206,406424,184025,184025
2025-08-22T19:34:16Z,2025-08-22T19:51:48Z,1000tomax,Eye of ayak (uncharged),FINISHED,1,1,65877852,67298628,1345972,74804,74804
2025-08-22T19:35:58Z,2025-08-22T19:47:02Z,1000tomax,Dragonstone bolts (e),FINISHED,11000,11000,472,486,99000,55000,5
2025-08-22T19:31:17Z,2025-08-22T19:40:45Z,1000tomax,Huasca seed,FINISHED,85,85,23618,24428,41480,27370,322
2025-08-22T19:31:35Z,2025-08-22T19:34:27Z,1000tomax,Chaos rune,FINISHED,18000,18000,59,62,18000,36000,2
2025-08-22T19:02:41Z,2025-08-22T19:28:47Z,1000tomax,Nightmare staff,FINISHED,1,1,30371923,31145112,622902,150287,150287
2025-08-22T19:25:11Z,2025-08-22T19:28:23Z,1000tomax,Steel bar,FINISHED,10000,10000,476,486,90000,10000,1
2025-08-22T18:37:11Z,2025-08-22T19:27:00Z,1000tomax,Crystal armour seed,FINISHED,5,5,6195612,6364559,636454,208281,41656
2025-08-22T19:06:46Z,2025-08-22T19:12:46Z,1000tomax,Rangers' tunic,FINISHED,1,1,4923516,5050655,101013,26126,26126
2025-08-22T18:59:46Z,2025-08-22T19:07:44Z,1000tomax,Eclectic impling jar,FINISHED,501,501,3141,3225,32064,10020,20
2025-08-22T18:58:22Z,2025-08-22T19:01:08Z,1000tomax,Basilisk jaw,FINISHED,1,1,17171323,17691182,353823,166036,166036
2025-08-22T18:46:51Z,2025-08-22T18:58:34Z,1000tomax,Yew longbow,FINISHED,18000,18000,523,538,180000,90000,5
2025-08-22T18:23:31Z,2025-08-22T18:57:16Z,1000tomax,Snapdragon seed,FINISHED,171,171,76155,77881,266221,28927,169
2025-08-22T18:53:45Z,2025-08-22T18:56:13Z,1000tomax,Law rune,FINISHED,18000,18000,84,99,18000,252000,14
2025-08-22T18:32:27Z,2025-08-22T18:54:36Z,1000tomax,Lightbearer,FINISHED,2,2,5320097,5458223,218328,57924,28962
2025-08-22T18:38:07Z,2025-08-22T18:53:28Z,1000tomax,Stamina potion(4),FINISHED,1347,1347,9246,9478,254583,58196,43
2025-08-22T18:11:29Z,2025-08-22T18:36:44Z,1000tomax,Zombie axe,FINISHED,3,3,1442730,1489704,89382,51540,17180
2025-08-22T18:20:24Z,2025-08-22T18:33:07Z,1000tomax,Unpowered orb,FINISHED,10000,10000,105,107,20000,0,0
2025-08-22T18:17:43Z,2025-08-22T18:31:04Z,1000tomax,Blighted manta ray,FINISHED,177,177,322,336,1062,1416,8
2025-08-22T18:01:31Z,2025-08-22T18:24:23Z,1000tomax,Abyssal whip,FINISHED,3,3,1581388,1620698,97239,20691,6897
2025-08-22T18:01:35Z,2025-08-22T18:21:32Z,1000tomax,Cosmic rune,FINISHED,18000,18000,69,72,18000,36000,2
2025-08-22T18:12:51Z,2025-08-22T18:17:25Z,1000tomax,Iron ore,FINISHED,150,150,105,108,300,150,1
2025-08-22T17:47:49Z,2025-08-22T18:10:35Z,1000tomax,Toxic staff (uncharged),FINISHED,2,2,10776384,10993899,439754,-4724,-2362
2025-08-22T17:07:17Z,2025-08-22T18:08:18Z,1000tomax,Teleport to house,FINISHED,12225,12225,536,528,0,-89702,-7
2025-08-22T17:52:11Z,2025-08-22T18:03:18Z,1000tomax,Dragon dagger(p++),FINISHED,3,3,23331,25355,1519,4553,1517
2025-08-22T15:33:13Z,2025-08-22T18:01:26Z,1000tomax,Manta ray,FINISHED,7602,7602,3978,4038,609905,-150345,-19
2025-08-22T17:38:15Z,2025-08-22T18:00:27Z,1000tomax,Adamant dart tip,FINISHED,7508,7508,184,191,22524,30032,4
2025-08-22T17:39:23Z,2025-08-22T17:54:22Z,1000tomax,Armadyl godsword,FINISHED,2,2,8741477,8938649,357544,36800,18400
2025-08-22T17:39:22Z,2025-08-22T17:42:06Z,1000tomax,Blood rune,FINISHED,25000,25000,198,203,100000,25000,1
2025-08-22T17:36:06Z,2025-08-22T17:38:31Z,1000tomax,Zulrah's scales,FINISHED,30000,30000,161,165,90000,30000,1
2025-08-22T17:00:52Z,2025-08-22T17:37:26Z,1000tomax,Berserker ring,FINISHED,6,6,5387694,5509860,661182,71814,11969
2025-08-22T17:12:13Z,2025-08-22T17:35:44Z,1000tomax,Dragon crossbow,FINISHED,3,3,1118735,1143087,68583,4473,1491
2025-08-22T16:54:56Z,2025-08-22T17:27:55Z,1000tomax,Red chinchompa,FINISHED,7000,7000,753,774,105000,42000,6
2025-08-22T16:36:24Z,2025-08-22T17:23:28Z,1000tomax,Ruby dragon bolts (e),FINISHED,4732,4732,3427,3535,331240,179816,38
2025-08-22T16:53:36Z,2025-08-22T17:18:18Z,1000tomax,Astral rune,FINISHED,25000,25000,61,64,25000,50000,2
2025-08-22T16:50:01Z,2025-08-22T17:03:44Z,1000tomax,Lantadyme,FINISHED,190,190,2807,2936,11020,13490,71
2025-08-22T16:53:25Z,2025-08-22T16:59:19Z,1000tomax,Amulet of fury,FINISHED,8,8,2035841,2082001,333120,36160,4520
2025-08-22T16:50:46Z,2025-08-22T16:55:07Z,1000tomax,Dragon javelin,FINISHED,40,40,846,887,680,960,24
2025-08-22T16:43:28Z,2025-08-22T16:54:12Z,1000tomax,Stamina potion(4),FINISHED,653,653,9225,9473,123417,38527,59
2025-08-22T16:36:33Z,2025-08-22T16:46:44Z,1000tomax,Runite bolts,FINISHED,11000,11000,179,184,33000,22000,2
2025-08-22T16:34:28Z,2025-08-22T16:46:06Z,1000tomax,Death rune,FINISHED,24482,24482,121,124,48964,24482,1
2025-08-22T16:18:25Z,2025-08-22T16:39:54Z,1000tomax,Tuna potato,FINISHED,2037,2037,1603,1653,67221,36090,17
2025-08-22T16:31:39Z,2025-08-22T16:39:35Z,1000tomax,Revenant ether,FINISHED,30000,30000,176,180,90000,30000,1
2025-08-22T16:05:42Z,2025-08-22T16:35:52Z,1000tomax,Master wand,FINISHED,1,1,1854946,1895687,37913,2828,2828
2025-08-22T16:06:45Z,2025-08-22T16:35:29Z,1000tomax,Crystal armour seed,FINISHED,5,5,6316885,6491028,649100,221615,44323
2025-08-22T16:19:45Z,2025-08-22T16:33:27Z,1000tomax,Ring of dueling(8),FINISHED,3456,3456,625,640,0,51840,15
2025-08-22T16:15:17Z,2025-08-22T16:21:08Z,1000tomax,Mahogany logs,FINISHED,11000,11000,313,323,66000,44000,4
2025-08-22T16:14:29Z,2025-08-22T16:17:54Z,1000tomax,Extended anti-venom+(4),FINISHED,12,12,19409,19410,4656,-4644,-387
2025-08-22T16:09:06Z,2025-08-22T16:15:56Z,1000tomax,Nature rune,FINISHED,18000,18000,85,88,18000,36000,2
2025-08-22T15:56:58Z,2025-08-22T16:13:04Z,1000tomax,Atlatl dart,FINISHED,9230,9230,130,139,18460,64610,7
2025-08-22T15:43:18Z,2025-08-22T16:08:41Z,1000tomax,Ring of dueling(8),FINISHED,3453,3453,634,639,0,19579,5
2025-08-22T16:04:33Z,2025-08-22T16:08:15Z,1000tomax,Soul rune,FINISHED,24888,24888,307,316,149328,74664,3
2025-08-22T16:03:17Z,2025-08-22T16:07:37Z,1000tomax,Rune arrow,FINISHED,11000,11000,198,204,44000,22000,2
2025-08-22T15:32:40Z,2025-08-22T16:00:12Z,1000tomax,Diamond bolts (e),FINISHED,8821,8821,191,197,26463,26463,3
2025-08-22T15:56:12Z,2025-08-22T16:00:08Z,1000tomax,Coal,FINISHED,12220,12220,177,183,36660,36660,3
2025-08-22T15:54:42Z,2025-08-22T15:56:34Z,1000tomax,Soul rune,FINISHED,112,112,307,316,672,336,3
2025-08-22T15:48:28Z,2025-08-22T15:56:13Z,1000tomax,Death rune,FINISHED,518,518,122,126,1036,1036,2
2025-08-22T15:42:46Z,2025-08-22T15:52:24Z,1000tomax,Atlatl dart,FINISHED,1770,1770,126,136,3540,14160,8
2025-08-22T15:50:25Z,2025-08-22T15:51:30Z,1000tomax,Dragon chainbody,FINISHED,1,1,496000,488298,9765,-17467,-17467
2025-08-22T15:42:12Z,2025-08-22T15:50:44Z,1000tomax,Bottomless compost bucket,FINISHED,2,2,1446399,1487357,59494,22422,11211
2025-08-22T15:04:50Z,2025-08-22T15:48:52Z,1000tomax,Sunfire fanatic chausses,FINISHED,1,1,3720531,3619782,72395,-173144,-173144
2025-08-22T15:20:10Z,2025-08-22T15:42:09Z,1000tomax,Snapdragon seed,FINISHED,29,29,75845,78093,45269,19923,687
2025-08-22T15:39:15Z,2025-08-22T15:41:28Z,1000tomax,Demon tear,FINISHED,13000,13000,134,138,26000,26000,2
2025-08-22T15:23:50Z,2025-08-22T15:32:29Z,1000tomax,Super restore(4),FINISHED,95,95,16826,17269,32775,9310,98
2025-08-22T15:30:24Z,2025-08-22T15:32:23Z,1000tomax,Cannonball,FINISHED,11000,11000,180,186,33000,33000,3
2025-08-22T15:19:26Z,2025-08-22T15:28:19Z,1000tomax,Adamant dart,FINISHED,11000,11000,44,45,0,11000,1
2025-08-22T05:28:47Z,2025-08-22T15:25:55Z,1000tomax,Mahogany logs,FINISHED,11000,11000,350,322,66000,-373490,-33
2025-08-22T15:04:50Z,2025-08-22T15:25:02Z,1000tomax,Dragon hunter crossbow,FINISHED,1,1,46341817,47305440,946108,17515,17515
2025-08-22T15:16:52Z,2025-08-22T15:19:03Z,1000tomax,Coal,FINISHED,780,780,173,180,2340,3120,4
2025-08-22T15:07:39Z,2025-08-22T15:18:45Z,1000tomax,Chaos rune,FINISHED,17885,17885,58,62,17885,53655,3
2025-08-22T15:05:46Z,2025-08-22T15:17:38Z,1000tomax,Ranarr seed,FINISHED,200,200,28631,29342,117200,25000,125
2025-08-22T15:09:04Z,2025-08-22T15:15:22Z,1000tomax,Amethyst dart,FINISHED,11000,11000,462,477,99000,68803,6
2025-08-22T05:54:49Z,2025-08-22T15:08:22Z,1000tomax,Sunfire fanatic cuirass,FINISHED,1,1,2751023,2682293,53645,-122375,-122375
2025-08-22T05:10:16Z,2025-08-22T15:04:50Z,1000tomax,Ring of endurance (uncharged),FINISHED,1,1,11146793,11541627,230832,164002,164002
